pname,subtitle,StrDate,EndDate,production,crew,cast,content,cover,stills
Love Letters,"By A.R. Gurney 
 Directed by Richard Cotter",2024-01-13,2024-01-28,"{""Director"": [""Richard Cotter""], ""Lighting Design"": [""Cian Byrne""]}","{""Stage Manager"": [""Mary Abraham"", ""Kayleigh Longuehaye"", ""Brooke McKenzie"", ""Amy Roberts""], ""Lighting Operation"": [""Gregory George""]}","{""Andrew Makepeace Ladd III"": [""Richard Cotter""], ""Melissa Gardner"": [""Tricia Youlden""]}","Andrew Makepeace Ladd III and Melissa Gardner, both born to wealth and position, are childhood friends whose lifelong correspondence begins with birthday party thank-you notes and summer camp postcards. Romantically attached, they continue to exchange letters through the boarding school and college years—where Andy goes on to excel at Yale and law school, while Melissa flunks out of a series of ""good schools.""
While Andy is off at war Melissa marries, but her attachment to Andy remains strong and she continues to keep in touch as he marries, becomes a successful attorney, gets involved in politics and, eventually, is elected to the U.S. Senate. Meanwhile, her marriage in tatters, Melissa dabbles in art and gigolos, drinks more than she should, and becomes estranged from her children.
The piece is comprised of letters exchanged over a lifetime between two people who grew up together, went their separate ways, but continued to share confidences. As the actors read the letters aloud, what is created is an evocative, touching, frequently funny but always telling pair of character studies in which what is implied is as revealing and meaningful as what is actually written down.",https://www.genesiantheatre.com.au/s2024/1/images/poster.jpg,[]
Plaza Suite,"By Neil Simon 
 Directed by John Grinston, Tui Clark, Ali Bendall",2024-02-03,2024-03-02,"{""Director"": [""John Grinston"", ""Tui Clark"", ""Ali Bendall""], ""Assistant Director"": [""Theo Hatzistergos""], ""Set Design"": [""Tom Fahy""], ""Costume Design"": [""Susan Carveth""], ""Lighting and Sound Design"": [""Cian Byrne""]}","{""Stage Manager"": [""Dianne Darlington""], ""Lighting and Sound Operation"": [""Chris Dunwell"", ""Paul Adderley""]}","{""Andrew Badger"": [""Borden Eisler, Bellhop""], ""Andrea Blight"": [""Norma Hubley""], ""Dianne Darlington"": [""Stage Manager""], ""Peter Gizariotis"": [""Roy Hubley""], ""Luke Holland"": [""Photography""], ""Elizabeth MacGregor"": [""Karen Nash""], ""Lois Marsh"": [""Thanks""], ""Joseph Restubog"": [""Jesse Kiplinger""], ""Romy Silver"": [""Mimsey Hubley, Maid, Jean McCormack""], ""LAURA WALLACE"": [""Muriel Tate""]}","In this classic comedy, take a glimpse at what the guests of the prestigious Plaza Hotel really get up to behind closed doors. Three acts, three casts, three directors – one hotel room.",https://www.genesiantheatre.com.au/s2024/2/images/poster.jpg,[]
Strangers on a Train,"By Craig Warner 
 Based on the novel 'Strangers on a Train' by Patricia Highsmith 
 Directed by Mark G. Nagle",2024-03-16,2024-04-20,"{""Director"": [""Mark G. Nagle""], ""Assistant Director"": [""Owen Hirschfeld""], ""Set Design"": [""Gregory George""], ""Costume Design"": [""Helen Kohlhagen""], ""Lighting and Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Andrew Badger""], ""Lighting and Sound Operation"": [""Cian Byrne"", ""Rebekah Wright"", ""Paul Adderley""]}","{""Roberta Treacher"": [""Cris Bocchi""], ""Arthur Gerard"": [""Christopher Brown""], ""Anne Faulkner"": [""Rachele Edson""], ""Guy Haines"": [""Hamish MacDonald""], ""Frank Myers"": [""Krishae Senthuran""], ""Elsa Bruno"": [""Jane Wallace""], ""Charles Bruno"": [""Roy Wallace-Cant""]}","A passenger train rattles its way across the landscape. Onboard are two men, strangers, who embrace the anonymity of their journey to share their deepest, darkest desires. Both are experiencing relationship troubles – Guy Haines reveals his wife has been unfaithful and he wants a divorce, Charles Bruno has been cut off by his wealthy father and wants to make him pay. Their lives on pause, Bruno offers a solution that could free them both: murder. But rather than each man killing their own targets, Bruno suggests they swap murders. With nothing to tie these two strangers to one another, Bruno argues, it would be the perfect crime! But will both men fulfil their part of the grisly pact?
What follows is a psychological thriller, with moves and counter-moves that will leave audiences guessing until the very end. Based on the novel by Patricia Highsmith, and adapted for the stage by Craig Warner, 
Strangers on a Train
 starts with a bang and races on like a runaway train. How will it end? You’ll just have to watch to find out.",https://www.genesiantheatre.com.au/s2024/3/images/poster.jpg,[]
Let's Kill Agatha Christie,"By Anthony Hinds 
 Directed by Gregory George",2024-05-04,2024-06-08,{},{},{},"In an hilarious take on the murder mystery genre, an unsuccessful writer decides to secure her own place as a literary legend by staging her own murder. She invites her three worst enemies for a weekend and gives them all a good reason to kill her.",https://www.genesiantheatre.com.au/s2024/4/images/poster.jpg,[]
Love From a Stranger,"By Agatha Christie 
 Adapted by Frank Vosper 
 Directed by Tui Clark",2023-01-14,2023-02-18,"{""Director"": [""Tui Clark""], ""Assistant Director"": [""Hannah Dunwell"", ""Kristina Ingegneri""], ""Set Design"": [""Tom Bannerman""], ""Costume Design"": [""Susan Carveth""], ""Lighting and Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Hannah Dunwell"", ""Stephen Keosseian""], ""Lighting and Sound Operation"": [""Cian Byrne"", ""Chris Dunwell"", ""Paul Adderley"", ""Paul Uhrig""]}","{""Cecily"": [""Emilia Kriketos""], ""Bruce"": [""Sam Walter""], ""Aunt Lou"": [""Dr Gribble"", ""Charlotte Launay""], ""Mavis"": [""Kimberlea Smith""], ""Nigel"": [""Matt Doherty""], ""Ethel"": [""Claire Ji Eun Yi""], ""Hodgson"": [""Rod Stewart""]}","It is 1920s London and Cecily & Mavis have just won the sweepstakes! Suddenly, a mysterious stranger appears on their doorstep - the enigmatic American Bruce Lovell!
But as Cecily embarks on a whirlwind romance with Bruce the cracks in his demeanour appear. Tensions rise as Cecily's friends & family uncover disturbing clues about his past.
Will Cecily escape the vile clutches of her newly wedded husband? Who will survive to tell the tale?",https://www.genesiantheatre.com.au/s2023/1/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2023/1/images/1.jpg', 'https://www.genesiantheatre.com.au/s2023/1/images/3.jpg']"
A Streetcar Named Desire,"By Tennessee Williams 
 Directed by Tom Massey",2023-04-15,2023-05-07,"{""Director"": [""Tom Massey""], ""Assistant Director"": [""Meg Girdler""], ""Set Design"": [""Soham Apte""], ""Costume Design"": [""Susan Carveth""], ""Lighting Design"": [""Mehran Mortezaei""], ""Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Meg Girdler""], ""Assistant Stage Manager"": [""Di Henderson""], ""Lighting and Sound Operation"": [""Chris Dunwell"", ""Grace Bondoc"", ""Mark Berriman""]}","{""Blanche DuBois"": [""Georgia Britt""], ""Stella Kowalski"": [""Ali Bendall""], ""Stanley Kowalski"": [""Riley McNamara""], ""Harold Mitchell [Mitch]"": [""Matthew Doherty""], ""Eunice Hubbel"": [""Rosie Daly""], ""Steve Hubbel"": [""Patrick Gallagher""], ""Pablo Gonzales"": [""Young Collector"", ""Shaun Loratet""], ""Flower Seller"": [""Nurse"", ""Jenny Jacobs""]}","Tennessee William's 1948 Pulitzer Prize winning masterpiece of the clash between unrequited fantasy and the harsh light of gritty existence in the real world.
School teacher Blanche DuBois flees to New Orleans for refuge in her sister Stella's home after their ancestral estate is lost to debt and the scandals in her personal life leave her no other options.
The cruelty and interrogation from Stella's husband Stanley makes New Orleans far from a safe harbour for Blanche, and ultimately leads to a brutal confrontation and emotional breakdown.",https://www.genesiantheatre.com.au/s2023/2/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2023/2/images/1.jpg', 'https://www.genesiantheatre.com.au/s2023/2/images/3.jpg']"
The Hound of the Baskervilles,"By Sir Arthur Conan Doyle 
 Adapted by Steven Canny and John Nicholson 
 Directed by Richard Cotter 
 The Hound of the Baskervilles 
 Look out! You won't be able to look away! 
 The Hound of the Baskervilles 
 Warning: May contain nuts",2023-05-27,2023-06-17,"{""Director"": [""Richard Cotter""], ""Costume Design"": [""Susan Carveth""], ""Lighting and Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Duncan Cole""], ""Lighting and Sound Operation"": [""Amy Roberts""]}","{""Alyona Popova"": [], ""Oliver Harcourt-Ham"": [], ""Kate Easlea"": []}","When Sir Charles Baskerville is found dead on his estate, with a look of terror still etched on his face, and the paw prints of a gigantic hound beside his body, the great detective Sherlock Holmes is summoned from Baker Street, with Dr Watson in tow, to unravel the mysteries surrounding his death, and investigate the ancient curse of the Hound of the Baskervilles... Just three actors navigate the twists and turns of this classic tale in madcap fashion!!
It's everything!
Mystery, Suspense, Drama and Comedy
It's everywhere!
Baker Street, The Moor, The Sauna, Baskverville Hall
All at once!
as Aly, Kate and Ollie embark on the barking mad caper
The esteemed Russian actor, Alyona Popova, the eminent British actor, Oliver Harcourt-Ham and the estimable Australian thesp, Kate Easlea will lead audiences through this labyrinth of mirth, mystery and murder, a Holmes away from Holmes!",https://www.genesiantheatre.com.au/s2023/3/images/poster.jpg,[]
Brontë,"By Polly Teale 
 Directed by Barry Nielsen",2023-07-01,2023-07-22,"{""Director"": [""Barry Nielsen""], ""Assistant Director"": [""Georgia Jarrett""], ""Costume Design"": [""Susan Carveth""], ""Lighting and Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Imran Khaliqi""], ""Lighting and Sound Operation"": [""Grace Bondoc"", ""Chris Dunwell"", ""Mark Berriman""]}","{""Patrick"": [""Gregory George""], ""Charlotte"": [""Aneeka Brownsberger""], ""Emily"": [""Emilia Stubbs Grigoriou""], ""Anne"": [""Rebecca Harris""], ""Branwell"": [""Theo Rule""], ""Bertha"": [""Cathy"", ""Georgia Jarrett""], ""Nicholls"": [""Heathcliff"", ""Heger"", ""Rochester"", ""Huntington"", ""Theo Hatzistergos""]}","How was it possible that three celibate Victorian sisters, living in isolation on the Yorkshire moors, could have written some of the most passionate and revolutionary fiction of all time: to create such potent psychological portraits that are part of our consciousness today?
In this powerful and imaginative work, the memories of childhood, reality and the imagined all come to haunt their creators.",https://www.genesiantheatre.com.au/s2023/4/images/poster.jpg,[]
Isn't It Romantic?,"A tribute to the memory of Lorenz Hart, with songs by Rodger & Hart, starring Robert Green with Alexander Sussman.",2023-07-06,2023-07-06,{},{},{},"Lorenz Hart is one of the great lyricists, writing in the first half of the 20th century.  Hugely prolific, many of his songs endure because they continue to speak to the human condition, which  despite the fact that we now live in the age of AI and  chatGPT,  hasn’t really changed much in 5,000 years.  We continue to fall in love, out of love, yearn and pine for it. Hart’s often bittersweet lyrics continue to strike a chord, and his humour and ingenious rhymes still make us laugh.
This performance is a fund raiser to help finance our move to Rozelle.",https://www.genesiantheatre.com.au/s2023/5/images/poster.jpg,[]
The Hollow,"By Agatha Christie 
 Directed by Molly Haddon",2023-08-19,2023-09-23,"{""Director"": [""Molly Haddon""], ""Assistant Director"": [""Sandra Bass""], ""Costume Design"": [""Susan Carveth""], ""Lighting Design"": [""Cian Byrne""]}","{""Stage Manager"": [""Amy Roberts"", ""Gregory George""], ""Lighting and Sound Operation"": [""Cian Byrne""]}","{""Henrietta Angkatell"": [""Jess Davis""], ""Sir Henry Angkatell"": [""Vincent O'Neill""], ""Lady Lucy Angkatell"": [""Penny Day""], ""Midge Harvey"": [""Cariad Weitnauer""], ""Mrs. Gudgeon"": [""Emily Saint Smith""], ""Edward Angkatell"": [""Tom Southwell""], ""Veronica Craye"": [""Doris"", ""Alannah Robertson""], ""Gerda Cristow"": [""Emily Smith""], ""John Cristow"": [""Inspector Coquelhoun"", ""Chad Traupmann""], ""Sergeant Penny"": [""Natalie Reid""]}","An unhappy game of romantic follow-the-leader explodes into murder one weekend at The Hollow, home of Sir Henry and Lucy Angkatell.
Dr. Cristow is at the center of the trouble when his mistress Henrietta, ex-mistress Veronica, and wife Gerda, simultaneously arrive at The Hollow. Also visiting are Edward (who is in love with Henrietta) and Midge (who loves Edward).
Veronica ardently desires to marry Cristow and succeeds in reopening their affair but is unable to get him to divorce his wife. Veronica unwisely states that if she cannot have him, no one shall.
Within five minutes, Cristow is dead.
Nearly everyone has a motive and most had the opportunity. Enter Inspector Colquhoun and Sergeant Penny to solve the crime.",https://www.genesiantheatre.com.au/s2023/6/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2023/6/images/1.jpg', 'https://www.genesiantheatre.com.au/s2023/6/images/3.jpg']"
